"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Antigua and Barbuda","ATG","Out-of-pocket health expenditure (% of total expenditure on health)","SH.XPD.OOPC.TO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.15047942","31.06622836","29.53361771","28.01326685","26.73951984","26.3456689","27.75211869","26.89017216","28.33522386","29.43868005","25.98055821","24.54576561","23.09067506","22.16534822","24.06386417","23.09668073","23.01484085","24.1369273","24.38005355","23.69377894","","","",
"Australia","AUS","Out-of-pocket health expenditure (% of total expenditure on health)","SH.XPD.OOPC.TO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.08864355","16.95011388","16.8731114","19.9028283","18.61399605","19.78445555","19.25278853","18.7411792","18.18346744","18.17865584","18.53677629","18.57498994","17.95412282","17.92720737","18.11209345","18.58387503","17.93827565","18.73859081","18.82993472","18.8152037","","","",
"Austria","AUT","Out-of-pocket health expenditure (% of total expenditure on health)","SH.XPD.OOPC.TO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.15492477","15.532623","15.37829824","15.33914562","14.95041597","15.06531876","15.87077044","15.83333253","16.03454022","17.47871847","17.42251015","17.1908636","17.0919357","16.39441429","16.33451841","16.58055264","16.6803314","16.34461812","16.23914267","16.14891707","","","",
"Azerbaijan","AZE","Out-of-pocket health expenditure (% of total expenditure on health)","SH.XPD.OOPC.TO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","66.35833854","65.13845741","62.16988181","67.23824988","64.77207763","63.26662402","63.2180006","65.2668574","77.35400465","78.99833673","82.3585563","78.43178294","72.56401639","71.74716482","68.50153612","69.18461184","69.8291745","69.02266594","71.06431526","72.08213855","","","",
"Burundi","BDI","Out-of-pocket health expenditure (% of total expenditure on health)","SH.XPD.OOPC.TO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52.03646044","45.54472191","49.95728404","49.59613596","49.16979913","52.19424454","49.62815096","52.95362435","55.82490529","43.45528358","49.00850782","47.93641066","37.68008298","37.45956835","37.53800357","26.26002658","25.7956615","21.91697172","20.21466205","21.02226064","","","",
"Belgium","BEL","Out-of-pocket health expenditure (% of total expenditure on health)","SH.XPD.OOPC.TO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.58801971","18.86645963","21.13372093","21.18756202","20.85622473","20.54320265","19.71406025","21.34183898","20.30706621","18.18641129","17.59833334","18.65635013","19.40393495","18.47065778","18.19796128","17.92776152","18.72909433","17.7838958","17.85284556","17.80520538","","","",
"Benin","BEN","Out-of-pocket health expenditure (% of total expenditure on health)","SH.XPD.OOPC.TO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54.94080491","55.64530451","57.85630567","55.70730786","53.9395535","55.74129945","50.6880795","55.74772142","52.18599005","52.0675461","47.72491542","47.20631414","46.17027276","44.70593951","42.52857621","38.88892466","35.8770727","38.8441412","39.67922429","39.09983944","","","",
"Burkina Faso","BFA","Out-of-pocket health expenditure (% of total expenditure on health)","SH.XPD.OOPC.TO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58.46582328","58.83922742","56.2969116","57.3959194","55.09435371","56.72234994","58.69880232","53.86202766","49.40931945","44.08248067","38.13275032","39.3744429","37.23621828","38.06009176","37.4268028","32.9135478","42.77117802","38.00921453","33.65001755","39.09089363","","","",
"Bangladesh","BGD","Out-of-pocket health expenditure (% of total expenditure on health)","SH.XPD.OOPC.TO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60.15975865","62.69713441","55.92104341","56.98607941","57.78439465","57.77759993","56.75719995","56.4617201","58.91063804","57.94173986","59.92079828","58.72360063","61.17585868","60.3139243","61.12732879","60.97312512","61.32016082","63.3038469","66.84353823","66.97587316","","","",
"Bulgaria","BGR","Out-of-pocket health expenditure (% of total expenditure on health)","SH.XPD.OOPC.TO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.03997136","30.39957197","28.33654406","30.10369976","33.67304779","39.06844768","41.58238661","38.14640271","36.9811423","38.21663683","37.88651542","41.79301241","40.60199331","40.37220954","43.3734603","42.8835946","43.91307422","42.52249135","46.7954828","44.19239756","","","",
"Bahrain","BHR","Out-of-pocket health expenditure (% of total expenditure on health)","SH.XPD.OOPC.TO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.62092942","22.8108104","21.49518015","24.4768096","23.27301023","22.21378959","22.66332476","22.58766605","22.26788476","22.77219989","21.68207001","20.83302438","19.23909443","17.13315217","17.409516","17.62891613","18.03436669","25.21337988","24.49608673","23.33848208","","","",
"Bahamas, The","BHS","Out-of-pocket health expenditure (% of total expenditure on health)","SH.XPD.OOPC.TO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.13793103","24.07852564","23.13436088","21.93591103","21.24740362","20.90729783","20.96261022","22.86040737","24.69252575","25.96021725","29.47167394","27.29617818","29.70906754","29.18325831","28.36676376","28.85980312","28.7006986","30.01897807","30.40657351","29.22546976","","","",
"Bosnia and Herzegovina","BIH","Out-of-pocket health expenditure (% of total expenditure on health)","SH.XPD.OOPC.TO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","62.89560226","53.01222133","56.94693063","59.14154128","46.90349183","43.11597207","39.77130401","36.91520235","31.00785812","42.79689749","42.72698732","39.87915688","36.27032906","32.26606773","28.63218526","28.29815629","27.81357051","27.80850541","29.03943643","27.92931604","","","",
"Belarus","BLR","Out-of-pocket health expenditure (% of total expenditure on health)","SH.XPD.OOPC.TO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.62671654","14.76966084","8.79902545","13.39451554","13.2035853","14.00511964","18.28277532","20.48864554","18.21645428","17.25857361","19.85772162","22.18169704","23.58406027","27.45349987","26.90194999","19.84725037","26.64299702","19.46230723","30.69080793","32.03152429","","","",
"Belize","BLZ","Out-of-pocket health expenditure (% of total expenditure on health)","SH.XPD.OOPC.TO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.38736923","34.35497109","33.53407154","34.03361268","34.99073031","39.00621224","34.67660596","35.83353468","34.04094731","34.08051056","32.16947393","29.52227053","27.43121521","25.88709192","24.50305084","23.64547143","23.39533651","23.99097669","24.25703751","23.008386","","","",
"Bermuda","BMU","Out-of-pocket health expenditure (% of total expenditure on health)","SH.XPD.OOPC.TO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Out-of-pocket health expenditure (% of total expenditure on health)","SH.XPD.OOPC.TO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33.29778346","27.78194865","30.21942627","31.09137629","35.08713137","34.881454","31.69366716","29.31640097","27.34362503","26.84734934","26.69131213","26.24076056","25.54369556","26.46431008","26.83739603","27.89887376","25.26578267","25.89696167","24.35290012","23.10753831","","","",
"Brazil","BRA","Out-of-pocket health expenditure (% of total expenditure on health)","SH.XPD.OOPC.TO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38.73962046","41.00041713","38.15838859","38.36985693","38.42316727","37.95266721","36.12190037","34.61176138","34.83058691","33.18549552","36.71479018","35.97707543","34.06422031","31.47055836","31.78974282","27.31798658","26.84527955","26.9010047","25.75847771","25.46992862","","","",
"Barbados","BRB","Out-of-pocket health expenditure (% of total expenditure on health)","SH.XPD.OOPC.TO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.29047358","24.01019009","26.39016193","26.45455738","26.68203903","26.42788297","24.95559372","24.10017168","26.81087574","27.93112819","28.67061495","28.63424465","26.91607761","26.23128264","26.82182358","28.19334292","30.85996403","28.52042898","28.87218447","29.86858822","","","",
"Brunei Darussalam","BRN","Out-of-pocket health expenditure (% of total expenditure on health)","SH.XPD.OOPC.TO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.24747666","18.69018309","18.93361716","16.27297805","16.27623206","14.63544784","15.50296022","15.17931908","15.91047852","15.90714949","15.40375454","13.83636323","11.86625441","9.42537182","8.8423326","7.63047974","7.80417495","8.00130578","7.67700986","6.00644004","","","",
"Bhutan","BTN","Out-of-pocket health expenditure (% of total expenditure on health)","SH.XPD.OOPC.TO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33.22982794","22.00762664","23.95767655","25.08904803","27.07675238","22.96285212","17.98537589","14.76623138","23.55344861","27.54275527","20.65104824","18.145104","12.53256448","15.10370757","18.428166","11.48539009","11.78524819","25.69075344","25.2298327","25.33315988","","","",
"Botswana","BWA","Out-of-pocket health expenditure (% of total expenditure on health)","SH.XPD.OOPC.TO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.04315005","16.25490552","14.98441119","15.87803645","15.26466979","13.78198515","10.45087481","8.93200164","11.11858639","7.92947039","6.25153541","5.888409","5.20426882","3.71891995","3.99595682","4.4386057","4.85364389","4.6766831","5.05557809","5.18847059","","","",
"Central African Republic","CAF","Out-of-pocket health expenditure (% of total expenditure on health)","SH.XPD.OOPC.TO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58.08124417","51.36484391","61.81235896","57.95569522","50.49640614","46.84599483","48.88305192","46.78050319","48.14729673","50.98337534","46.87373406","47.56876641","45.34824397","39.81111831","48.4313105","44.58543019","45.87242061","46.31302032","45.18796278","46.22359876","","","",
"Canada","CAN","Out-of-pocket health expenditure (% of total expenditure on health)","SH.XPD.OOPC.TO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.98874955","16.25963094","16.89576957","16.28139825","16.38299208","15.9134908","15.23035816","15.19913578","14.53152877","14.62255717","14.6175539","15.01321996","14.77178836","14.59582345","14.22736309","14.57521381","13.99800285","13.74373867","13.64222742","13.6008573","","","",
"Central Europe and the Baltics","CEB","Out-of-pocket health expenditure (% of total expenditure on health)","SH.XPD.OOPC.TO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.0133960831208","19.7623328159177","20.3401961893504","23.6934993249757","21.8189056523938","22.8579975253569","22.8798867261746","21.4742992200956","21.1072397429296","22.9685939285573","21.9460398495522","22.102579791242","22.0310644298974","21.731980666131","21.7456423553742","21.3180539653092","21.5564199909836","21.8946549724922","22.3161124458172","22.2118397539757","","","",
"Switzerland","CHE","Out-of-pocket health expenditure (% of total expenditure on health)","SH.XPD.OOPC.TO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33.09738461","31.49545459","32.40647025","32.87349088","33.37612351","32.97535482","31.7895641","31.56169675","31.62420696","31.86128796","30.63059349","30.79313205","30.72587141","24.83545812","24.66503687","26.37593516","26.40890663","27.23865646","25.76736717","26.8","","","",
"Channel Islands","CHI","Out-of-pocket health expenditure (% of total expenditure on health)","SH.XPD.OOPC.TO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Out-of-pocket health expenditure (% of total expenditure on health)","SH.XPD.OOPC.TO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48.48925593","49.43573752","53.52787285","52.32312213","51.06791448","46.99654781","46.59356779","47.38811383","42.44919468","41.59482411","41.78939188","39.81815278","38.25379943","36.73596801","33.8159376","33.66343209","33.54147925","32.636946","32.31543411","31.51926039","","","",
"China","CHN","Out-of-pocket health expenditure (% of total expenditure on health)","SH.XPD.OOPC.TO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46.40008838","50.64362465","52.83829601","54.84569492","55.85054933","58.97951001","59.96668052","57.7222223","55.87198214","53.63892552","52.20579914","49.30806007","44.05281852","40.42309042","37.4597749","35.29105288","34.77083754","34.3409205","33.87968341","31.98709235","","","",
"Cote d'Ivoire","CIV","Out-of-pocket health expenditure (% of total expenditure on health)","SH.XPD.OOPC.TO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60.53799224","59.18489958","59.96411336","62.47340862","58.97520469","55.29823594","55.01628715","49.16819298","52.74969477","55.05342436","59.96903234","61.56589343","62.80824036","60.43001812","57.42960759","56.47706075","57.48400675","52.34200805","49.6319646","50.81174854","","","",
"Cameroon","CMR","Out-of-pocket health expenditure (% of total expenditure on health)","SH.XPD.OOPC.TO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","71.89970251","78.85383369","74.61723685","77.74673992","76.70343219","74.74445334","71.74642322","69.37533469","69.20728638","71.90830551","72.22405126","72.77897641","73.38377706","75.83971859","70.71974159","67.66474886","48.69851272","64.84100247","65.70145348","66.3124521","","","",
"Congo, Dem. Rep.","COD","Out-of-pocket health expenditure (% of total expenditure on health)","SH.XPD.OOPC.TO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","77.60180183","79.66162216","77.722444","80.91378363","77.81681379","54.76159858","71.19278805","70.81792746","58.51683839","60.57579051","57.19070045","55.12138811","50.13645346","39.16909435","37.53125868","37.10815864","38.82083109","37.68851792","39.38960908","38.76896496","","","",
"Congo, Rep.","COG","Out-of-pocket health expenditure (% of total expenditure on health)","SH.XPD.OOPC.TO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40.04400472","39.14343454","37.74683559","40.15343556","42.31324932","42.00812858","44.648184","46.98591139","49.79422181","45.82094878","40.26282338","36.56993201","38.49533876","39.77033621","48.07969787","37.24161296","27.97135452","19.96880892","19.55120509","17.51202531","","","",
"Colombia","COL","Out-of-pocket health expenditure (% of total expenditure on health)","SH.XPD.OOPC.TO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38.06465567","32.35912148","32.24591073","24.14994059","18.46311689","12.2214301","12.58777386","11.0296473","8.1509702","14.50678639","17.00622801","18.47900183","19.86113806","21.39340268","18.66813395","17.76488265","15.62838505","14.55485219","13.79141153","15.35502064","","","",
"Comoros","COM","Out-of-pocket health expenditure (% of total expenditure on health)","SH.XPD.OOPC.TO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37.57710992","39.42415224","42.46236745","45.97128315","49.21480366","57.17395004","61.71686861","50.71436616","50.25900787","49.21950566","47.31715504","45.1552256","43.14941806","39.68458531","54.89420576","35.98790177","48.87776607","42.12262065","46.46108726","45.06057633","","","",
"Cabo Verde","CPV","Out-of-pocket health expenditure (% of total expenditure on health)","SH.XPD.OOPC.TO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.40158802","17.01601234","17.09012714","23.85012313","25.06262733","25.45331442","23.35613255","23.51712369","23.78169014","23.88677455","23.63208541","21.3952626","20.11364956","22.1101035","22.16790535","26.01312481","24.2485888","24.333324","24.0120182","22.24205073","","","",
"Costa Rica","CRI","Out-of-pocket health expenditure (% of total expenditure on health)","SH.XPD.OOPC.TO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.60352277","20.8556506","20.73602523","18.35667634","18.95979327","18.70804044","21.84455583","21.46213374","21.21814956","24.89442826","24.83435411","26.87743754","28.74251717","27.10270515","24.65916471","24.02714885","24.1260447","24.35839102","24.52722182","24.86704298","","","",
"Caribbean small states","CSS","Out-of-pocket health expenditure (% of total expenditure on health)","SH.XPD.OOPC.TO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.8740388083194","29.5149337407323","30.6815759573964","29.1125461721475","31.7427942506778","30.8060967365061","33.1631763209533","30.03755739144","33.7188388984598","33.4428150288945","34.4686599071636","32.4858504510001","34.1885456905405","33.7671491743786","32.7854392683999","30.8030421457703","32.561846231703","32.1760053677227","31.8248398277982","32.1305036253198","","","",
"Cuba","CUB","Out-of-pocket health expenditure (% of total expenditure on health)","SH.XPD.OOPC.TO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.77198697","9.50570342","9.31899642","9.42760943","8.80798591","9.16936354","9.56408559","11.86176551","10.54651317","10.9073462","6.91695165","7.69040646","5.14878077","4.63202804","4.22483217","4.81106469","4.96284619","5.84869676","5.48125994","4.3868948","","","",
"Curacao","CUW","Out-of-pocket health expenditure (% of total expenditure on health)","SH.XPD.OOPC.TO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Out-of-pocket health expenditure (% of total expenditure on health)","SH.XPD.OOPC.TO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Out-of-pocket health expenditure (% of total expenditure on health)","SH.XPD.OOPC.TO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63.26971407","64.86436472","63.60166366","57.05375089","54.55891664","55.86018313","55.18530202","52.76921708","43.42542521","46.4894075","47.03737765","46.62598625","47.78289904","49.69585547","48.3190785","45.36701124","44.84164266","47.0366049","46.97137834","48.71378501","","","",
"Czech Republic","CZE","Out-of-pocket health expenditure (% of total expenditure on health)","SH.XPD.OOPC.TO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.11127562","9.33247151","9.71447516","9.56973238","9.51846966","9.68087582","10.23459766","9.52643707","9.96135488","10.35228493","10.69599409","11.29435355","13.18240522","15.73360876","14.6286967","14.86045211","14.74046199","15.03126691","14.52955882","14.32592339","","","",
"Germany","DEU","Out-of-pocket health expenditure (% of total expenditure on health)","SH.XPD.OOPC.TO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.96458605","9.85056466","10.62905179","11.18248291","11.30688746","11.82803242","11.8042504","12.12069776","12.50132596","13.89994182","13.99497508","14.12039469","14.05746179","13.78179605","13.56112236","13.75453415","13.77954488","13.83432625","13.19588873","13.19748255","","","",
"Djibouti","DJI","Out-of-pocket health expenditure (% of total expenditure on health)","SH.XPD.OOPC.TO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39.1234598","41.08829842","37.95662429","33.40421429","28.78187397","31.73518861","34.61188836","34.97560424","32.57636461","31.59556533","31.17321569","32.91850026","30.50795993","28.26913836","28.49558891","41.42870297","42.04823392","40.90295863","41.44292225","35.8414004","","","",
"Dominica","DMA","Out-of-pocket health expenditure (% of total expenditure on health)","SH.XPD.OOPC.TO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.25407602","27.48958453","26.41263757","26.96334591","27.53575591","28.29618077","28.76927429","29.10085385","29.74290371","29.97941392","33.10971642","30.76045059","32.93048487","33.37949191","27.14844315","26.27081073","26.50540454","28.21215948","28.67363378","28.34174018","","","",
"Denmark","DNK","Out-of-pocket health expenditure (% of total expenditure on health)","SH.XPD.OOPC.TO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.29748554","16.23188076","16.3280654","16.35196932","14.59549011","14.67089541","14.41053783","14.10908864","13.98079536","14.22126034","14.04706864","13.83675763","13.94593381","13.54999888","13.17150816","13.19381069","12.8189654","12.43924238","12.89193693","13.35969348","","","",
"Dominican Republic","DOM","Out-of-pocket health expenditure (% of total expenditure on health)","SH.XPD.OOPC.TO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54.43320482","56.99655914","49.33866889","45.61020224","44.22413484","43.08545821","44.72178307","43.48725881","45.61252498","52.14769647","50.72026105","45.66389375","41.04942445","38.4054155","34.8631987","33.24376297","28.62531797","26.08124462","25.01707134","21.14268879","","","",
"Algeria","DZA","Out-of-pocket health expenditure (% of total expenditure on health)","SH.XPD.OOPC.TO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.9485242","24.39843603","28.01718178","28.80749077","29.67705059","25.79451389","21.66852471","22.52488338","21.14863711","26.09432671","28.09361344","29.12135325","28.08858159","26.14678762","27.44943955","28.88244202","27.87165888","25.70015713","26.4366324","26.49750353","","","",
"East Asia & Pacific (excluding high income)","EAP","Out-of-pocket health expenditure (% of total expenditure on health)","SH.XPD.OOPC.TO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.5642606391264","48.151641440629","49.556572317567","52.1177558632636","52.7183561558278","55.2223630834795","55.9654544376599","54.0276562995463","52.3782578667556","50.9561500912219","50.9633190048133","47.8339666458965","43.3259883276272","40.4623674005197","37.8755697853394","35.9463622258187","35.5418637894595","34.8989801473124","34.4728233573286","32.7567670207334","","","",
"Early-demographic dividend","EAR","Out-of-pocket health expenditure (% of total expenditure on health)","SH.XPD.OOPC.TO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42.3451591132256","42.4437546656868","42.1454797007237","42.3122106568129","41.7307192785123","42.4184038176196","43.5493354994725","44.273056880285","43.3507282168526","42.2801560247677","42.7760059715825","42.0283104356151","41.8030276740932","41.3064462004616","40.1728444454545","40.7203427846695","40.1221838086703","40.0668183149896","39.7697075015828","40.5173487386017","","","",
"East Asia & Pacific","EAS","Out-of-pocket health expenditure (% of total expenditure on health)","SH.XPD.OOPC.TO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.1240198551957","20.7427095768904","22.0017545254744","22.6468600442646","22.6217674863531","23.0261107456957","23.780760872546","24.5677534285554","25.1152485030101","24.8408387565581","25.3371699329415","26.2553594356375","25.4741901248842","24.9526950502987","24.1628617200042","23.5186177907895","23.4992742039622","23.9529957649839","25.1852985761325","25.2286981166063","","","",
"Europe & Central Asia (excluding high income)","ECA","Out-of-pocket health expenditure (% of total expenditure on health)","SH.XPD.OOPC.TO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.2101083513728","24.1799753908018","23.6126750401924","27.9164957732012","30.3788407374688","30.4730853375242","29.607256518733","28.8100695431556","28.6676753936588","29.7856790448008","29.5419143114531","28.9928540148259","28.6014862814996","33.1680984330173","33.9510008245754","35.6218030595421","36.6536717256443","36.6286161375399","38.7891201344022","38.6348976876542","","","",
"Europe & Central Asia","ECS","Out-of-pocket health expenditure (% of total expenditure on health)","SH.XPD.OOPC.TO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.8122724596242","14.8992507612945","15.5261637392333","15.9572279594507","15.8624659364821","15.8539110135227","15.6467917270371","15.6016527095874","15.6206397189783","15.8661851517095","15.7662714245303","15.8656109655247","16.0047124124907","16.5292744856265","15.9381739408033","16.5601305269307","16.7602327076613","17.0401906309621","17.1682342343267","16.9841463944903","","","",
